Application mode;Course;Tuition fees up to date;Age at enrollment;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Output
1;16;1;18;6;5;45821;6;4;27699;Enrolled
4;3;0;23;12;11;14.0;10;8;14625;Dropout
1;12;1;19;7;6;1,34167E+16;7;6;1,34167E+16;Graduate
1;9;1;18;5;5;1,23333E+16;5;5;45758;Graduate
14;12;1;20;7;7;45670;8;8;148125;Graduate
1;14;1;18;6;4;45701;6;5;45881;Graduate
1;12;1;19;8;8;14.75;8;8;14.75;Graduate
15;10;1;19;6;6;1,31429E+16;6;6;1,43333E+16;Graduate
1;16;1;19;6;4;45789;6;5;45789;Enrolled
1;6;1;18;5;4;13.75;5;5;1,48571E+16;Graduate
1;10;1;18;6;5;45759;6;6;13.0;Graduate
1;15;1;18;6;6;1,33333E+16;6;6;12.0;Graduate
2;16;0;28;11;11;1,17273E+16;8;8;12.0;Dropout
8;11;1;19;6;4;45789;6;1;14.0;Dropout
14;2;1;20;0;0;0.0;0;0;0.0;Dropout
1;12;1;19;7;6;1,35333E+16;8;7;1,36143E+16;Graduate
1;5;1;20;6;6;1,31667E+16;6;6;1,26667E+16;Graduate
1;11;1;19;6;5;45701;6;5;11.0;Graduate
16;5;1;21;6;5;45700;6;4;45820;Enrolled
1;16;1;19;7;7;1,34286E+16;7;7;1,48571E+16;Graduate
1;5;1;18;6;6;1,27143E+16;6;6;12625;Graduate
8;8;1;19;6;0;0.0;6;0;0.0;Dropout
8;14;1;19;6;6;1,36667E+16;6;6;1,36667E+16;Graduate
1;15;1;20;6;5;11.0;6;6;1,31667E+16;Graduate
8;16;1;18;7;5;45758;7;6;1,33333E+16;Enrolled
14;2;1;18;0;0;0.0;0;0;0.0;Enrolled
8;8;1;18;5;4;12.0;5;5;12.0;Graduate
8;15;1;18;6;0;0.0;6;0;0.0;Dropout
8;10;1;18;6;5;11.0;6;6;1,16667E+16;Graduate
9;15;1;20;6;5;12.0;6;6;1,15714E+16;Dropout
8;12;1;19;7;7;1,33086E+16;8;8;20424;Graduate
1;16;0;21;6;3;1,36667E+16;6;3;1,06667E+16;Dropout
8;14;0;20;6;0;0.0;6;0;0.0;Dropout
1;11;1;18;6;5;45700;6;4;45962;Graduate
1;15;1;20;6;6;1,26667E+16;6;6;1,28333E+16;Graduate
1;12;1;19;8;8;1407125;8;8;1407125;Graduate
1;6;1;22;5;4;14.25;5;5;45701;Dropout
8;8;0;22;6;0;0.0;2;0;0.0;Dropout
1;16;1;18;6;3;12.0;6;4;45931;Enrolled
14;9;1;21;10;6;1,11667E+16;10;7;1,05714E+16;Enrolled
1;10;1;19;6;2;13.0;6;5;45819;Graduate
1;2;1;19;0;0;0.0;0;0;0.0;Dropout
1;12;1;20;8;7;1,49014E+16;8;7;1,49014E+16;Dropout
1;12;1;18;7;7;24077;8;8;1,24456E+16;Graduate
16;17;0;22;12;7;11.0;5;5;45818;Dropout
8;6;1;20;5;4;45759;5;5;1,26667E+16;Graduate
15;4;1;19;6;6;12.0;6;6;1,26667E+16;Graduate
1;12;1;19;7;7;1,21357E+16;8;7;1,33286E+16;Graduate
1;12;1;20;7;5;22981;7;6;45789;Enrolled
12;17;1;25;5;3;1,06667E+16;5;3;1,13333E+16;Enrolled
1;12;1;19;7;6;1,37667E+16;8;7;1,40514E+16;Graduate
9;12;1;19;8;8;1311625;8;8;1311625;Graduate
1;5;0;19;5;0;0.0;6;0;0.0;Dropout
1;12;1;20;7;6;45850;8;7;1,35714E+16;Graduate
12;13;1;25;7;7;1,18571E+16;8;5;45849;Enrolled
8;12;1;20;7;6;1,23333E+16;7;6;1,23333E+16;Graduate
12;10;1;24;6;4;15.75;6;5;45763;Enrolled
1;14;1;20;5;5;1,33333E+16;5;5;45701;Graduate
13;12;1;21;7;7;1,43556E+16;8;8;1349375;Graduate
15;4;1;19;6;6;13.0;6;5;13.0;Graduate
1;15;1;19;6;6;1,28333E+16;6;6;45790;Graduate
1;14;1;21;5;5;45701;5;4;13.0;Graduate
12;12;1;28;7;7;1,70056E+16;8;8;1,65822E+16;Graduate
1;10;0;19;6;5;45818;6;5;11.0;Graduate
1;9;1;18;5;5;14.0;5;5;45821;Graduate
8;12;1;18;8;7;1,21143E+16;8;7;1,21143E+16;Graduate
1;12;1;18;8;8;1305875;8;8;1305875;Graduate
13;12;1;22;8;7;1,32857E+16;8;7;1,32857E+16;Graduate
1;9;1;19;5;4;11.0;5;3;1,06667E+16;Enrolled
1;12;1;18;7;7;1,40714E+16;8;8;151625;Graduate
8;11;0;20;6;0;0.0;6;0;0.0;Dropout
15;2;0;26;9;4;45962;10;3;11.0;Dropout
1;5;1;18;6;6;14.0;6;6;13625;Graduate
1;11;1;21;6;6;1,21667E+16;6;3;1,16667E+16;Dropout
8;12;1;18;8;7;1,32971E+16;8;7;1,32971E+16;Graduate
1;6;1;20;6;6;1,39231E+16;6;6;14.25;Graduate
1;12;1;18;7;7;13.37;8;7;1,28333E+16;Graduate
8;9;1;19;5;5;45759;5;3;11.0;Enrolled
1;14;1;20;5;4;15.0;5;4;13.75;Dropout
1;16;1;18;6;6;1,33333E+16;6;6;1,25714E+16;Graduate
7;9;1;20;5;3;12.0;5;4;12625;Enrolled
1;3;1;22;6;5;45760;6;5;45700;Graduate
1;2;1;18;0;0;0.0;0;0;0.0;Enrolled
16;17;1;21;5;4;45788;5;5;45758;Graduate
9;16;1;18;7;6;12.0;7;6;1,21667E+16;Enrolled
1;12;1;18;8;7;1,34857E+16;8;7;1,34857E+16;Graduate
1;5;1;18;6;6;12.0;6;6;1,12857E+16;Graduate
8;2;1;19;0;0;0.0;0;0;0.0;Dropout
8;9;1;19;5;3;1,03333E+16;5;3;1,44286E+16;Enrolled
1;12;1;19;7;5;34669;7;5;13.76;Enrolled
1;12;1;19;8;7;1,32586E+16;8;7;1,32586E+16;Graduate
1;9;1;19;5;4;45992;5;4;12.0;Enrolled
8;11;0;19;6;3;1,16667E+16;6;1;10.0;Dropout
7;11;1;21;6;6;1,35714E+16;6;6;45789;Graduate
1;15;1;20;6;5;45880;6;5;1,18333E+16;Graduate
1;9;1;20;5;5;45702;5;5;1,32857E+16;Graduate
12;17;1;41;5;5;11.0;5;5;45880;Graduate
4;12;1;32;7;4;13625;7;7;126375;Enrolled
8;12;1;18;8;7;1,46529E+16;8;7;1,46529E+16;Graduate
12;3;1;35;6;6;1,13333E+16;6;6;1,13333E+16;Graduate
12;12;0;32;7;4;45851;7;0;0.0;Dropout
12;3;1;37;11;11;1,37273E+16;8;8;14.75;Graduate
12;9;1;30;7;7;27699;8;7;1,11429E+16;Dropout
14;15;1;23;6;6;1,23333E+16;6;5;13.0;Graduate
8;15;1;20;6;6;14.0;6;6;1,38571E+16;Dropout
1;14;1;21;5;4;45788;5;4;27699;Graduate
1;9;1;19;5;5;45699;5;5;45701;Graduate
8;12;1;18;8;7;45853;8;7;45853;Graduate
13;7;1;18;5;1;10.0;5;1;12.0;Dropout
12;17;1;24;5;4;12.0;5;5;1,26667E+16;Enrolled
9;14;1;22;6;4;13.0;6;4;45820;Graduate
8;11;1;18;6;4;11.0;6;3;45962;Dropout
7;10;1;18;6;6;1,35714E+16;6;5;1,21667E+16;Graduate
1;5;1;21;6;5;45822;6;5;45702;Graduate
12;12;1;38;7;3;1,18333E+16;7;2;10.0;Dropout
9;13;1;19;7;7;12625;8;8;125125;Graduate
12;12;1;36;7;4;45788;7;3;1,23333E+16;Dropout
7;6;1;18;5;4;13.25;5;4;45787;Graduate
1;12;1;19;7;7;1260625;8;6;45911;Graduate
17;6;0;21;10;8;13.75;9;5;45701;Dropout
1;12;1;19;7;6;1,35983E+16;8;6;1,19333E+16;Enrolled
1;10;1;18;6;5;1,11429E+16;6;6;1,22857E+16;Graduate
4;12;1;45;11;11;45850;10;10;1,29682E+15;Enrolled
8;9;1;20;5;1;10.0;5;1;11.0;Dropout
8;11;1;18;6;6;1,16667E+16;6;4;45788;Graduate
1;14;1;18;6;6;14.0;6;6;1,31429E+16;Graduate
4;8;1;25;5;0;0.0;5;0;0.0;Dropout
1;12;1;19;8;7;1,20414E+15;8;7;1,20414E+15;Graduate
1;2;1;18;0;0;0.0;0;0;0.0;Graduate
4;11;1;39;13;13;1,37692E+15;12;12;1,45833E+16;Graduate
12;4;1;29;18;18;1,54444E+16;13;13;1,53077E+16;Graduate
8;16;1;18;7;6;45788;7;7;1,27143E+16;Enrolled
4;5;0;23;3;2;10.0;6;0;0.0;Dropout
13;16;1;21;6;4;45992;6;3;1,03333E+16;Dropout
1;10;0;18;6;6;45791;6;6;1,51667E+16;Graduate
4;6;1;23;6;6;1,55714E+16;6;6;16375;Graduate
1;8;1;18;6;6;1,55714E+16;6;6;1,47143E+16;Graduate
12;3;1;32;6;5;45882;6;6;1,21667E+16;Graduate
12;9;0;29;5;3;1,06667E+16;5;2;45883;Dropout
1;10;1;20;6;5;45819;6;4;27699;Graduate
12;10;0;28;6;1;13.0;6;0;0.0;Dropout
4;9;1;27;5;3;12.0;5;4;13625;Graduate
14;12;1;22;14;12;1,23333E+16;14;12;1,23333E+16;Graduate
12;4;1;37;6;6;12875;6;6;45912;Enrolled
4;3;0;28;6;1;11.0;6;0;0.0;Dropout
12;4;0;43;6;4;45992;6;4;45787;Dropout
14;13;0;32;7;0;0.0;8;0;0.0;Dropout
8;10;1;20;6;4;27668;6;5;45788;Enrolled
12;12;1;35;8;8;13.63;8;8;13.63;Graduate
1;14;1;21;5;3;13.0;5;4;45788;Graduate
1;12;1;18;7;6;1,35333E+16;7;7;1,22286E+16;Enrolled
1;12;1;18;7;7;45916;8;8;1,63778E+15;Graduate
8;10;1;18;6;5;12.0;6;4;12.0;Graduate
15;3;1;22;6;6;45789;6;6;1,32857E+16;Graduate
1;12;1;19;8;7;1,27643E+16;8;7;1,27643E+16;Graduate
9;9;1;18;5;5;13.75;5;5;1,21667E+16;Graduate
1;2;1;19;0;0;0.0;0;0;0.0;Dropout
1;12;1;18;7;7;1,46043E+16;8;8;1,56833E+15;Graduate
12;17;0;31;5;0;0.0;5;0;0.0;Dropout
12;3;1;33;6;5;1,38333E+16;6;6;45789;Graduate
1;12;1;19;8;8;1357625;8;8;1357625;Graduate
8;10;1;18;6;6;1,51429E+16;6;6;1,58333E+16;Graduate
1;9;1;23;5;3;1,06667E+16;5;5;45819;Graduate
8;10;1;20;6;5;45699;6;6;12.0;Graduate
1;12;1;18;8;8;1376375;8;8;1376375;Graduate
17;6;1;21;9;8;13.25;9;5;45700;Enrolled
1;10;1;22;6;5;1,07143E+16;6;5;45700;Graduate
1;10;1;20;6;6;1,21667E+16;6;6;1,16667E+16;Graduate
4;12;1;23;7;6;1,43571E+16;7;6;1,43571E+16;Graduate
8;15;1;19;6;6;1,28333E+16;6;6;1,26667E+16;Graduate
8;12;1;19;8;7;1,39257E+16;8;7;1,39257E+16;Graduate
12;17;1;26;5;2;12.0;5;3;11.0;Dropout
1;12;1;18;7;7;1,34429E+15;8;8;1,37444E+16;Graduate
9;7;1;18;5;1;16.0;5;0;0.0;Dropout
15;4;1;20;6;6;13125;6;6;45701;Graduate
1;14;1;19;6;0;0.0;6;0;0.0;Dropout
14;17;0;32;9;5;45758;4;4;11.0;Dropout
12;8;0;31;4;2;11.0;5;3;1,16667E+16;Dropout
12;7;1;25;5;1;11.0;5;1;10.0;Enrolled
13;6;1;21;6;5;1,36667E+16;6;5;13.0;Graduate
14;17;0;31;6;4;27699;5;1;10.0;Dropout
12;16;1;34;7;1;10.0;7;1;13.0;Dropout
1;10;1;18;6;6;45790;6;6;1,28333E+16;Graduate
1;10;1;19;6;0;0.0;6;0;0.0;Dropout
17;14;1;21;6;1;12.0;6;1;11.0;Enrolled
1;16;0;18;6;3;13.0;6;5;45880;Dropout
1;11;1;20;6;6;1,48333E+16;6;6;16.0;Graduate
14;15;1;20;6;6;1,18333E+16;6;6;1,28571E+16;Graduate
8;14;1;18;6;5;12.0;6;5;1,23333E+16;Graduate
1;10;1;19;6;4;27729;6;6;1,13333E+16;Graduate
14;6;1;19;5;0;0.0;5;4;14.75;Enrolled
12;8;1;30;6;0;0.0;6;1;10.0;Dropout
8;10;1;19;6;6;12.0;6;6;1,28571E+16;Graduate
1;13;1;19;7;7;1,16778E+16;8;8;45882;Graduate
1;12;1;19;8;7;45821;8;7;45821;Graduate
1;6;1;19;6;6;16.0;6;6;15875;Graduate
1;10;1;20;6;5;45880;6;6;45788;Graduate
13;7;1;25;5;0;0.0;6;2;14.0;Dropout
1;15;1;19;6;0;0.0;6;0;0.0;Dropout
12;16;1;34;6;6;1,61429E+16;6;6;45704;Graduate
9;12;1;18;8;7;1,17857E+16;8;7;1,17857E+16;Graduate
1;12;1;18;8;8;1342375;8;8;1342375;Graduate
1;14;1;20;6;6;45789;6;5;1,41667E+16;Graduate
8;12;1;20;8;7;1,24643E+16;8;7;1,24643E+16;Graduate
17;17;1;23;11;8;12375;9;5;45820;Enrolled
12;14;1;28;6;1;10.0;6;0;0.0;Dropout
8;15;1;18;6;5;45820;6;6;1,24286E+16;Enrolled
14;9;1;19;5;5;45820;5;4;45759;Graduate
1;9;1;34;5;2;10.0;5;4;12.0;Dropout
16;16;1;35;7;0;0.0;6;0;0.0;Dropout
4;17;1;32;5;5;45819;5;5;1,23333E+16;Graduate
8;11;1;19;6;6;1,21667E+16;6;6;45790;Graduate
8;14;1;18;6;4;45821;6;5;1,26667E+16;Graduate
12;9;0;35;5;4;45789;5;5;45880;Dropout
12;3;1;24;6;4;45992;6;4;45788;Enrolled
8;10;1;20;6;6;1,17143E+16;6;6;12625;Graduate
1;15;1;18;6;6;45790;6;6;13.0;Graduate
1;12;1;20;8;7;1,30243E+16;8;7;1,30243E+16;Graduate
8;11;0;18;6;0;0.0;6;0;0.0;Dropout
1;7;1;18;5;5;1,73333E+16;5;5;1,85714E+16;Graduate
1;14;1;20;5;4;11.0;5;4;45788;Graduate
8;16;1;19;7;6;1,36667E+16;7;6;45789;Dropout
1;5;1;20;6;6;11375;6;5;45882;Enrolled
1;10;1;19;6;6;1,28333E+16;6;6;1,18333E+16;Graduate
1;15;1;20;6;5;45820;6;4;45788;Graduate
1;12;1;22;7;6;1,43333E+16;8;7;1,37714E+16;Graduate
8;7;1;18;5;4;45790;6;6;13625;Enrolled
1;12;1;19;8;7;1,42857E+16;8;7;1,42857E+16;Graduate
15;4;1;22;6;3;27699;6;2;10.0;Dropout
8;7;1;20;5;5;45883;5;5;45825;Graduate
12;4;0;34;6;0;0.0;6;0;0.0;Dropout
12;3;1;24;6;1;10.0;5;0;0.0;Dropout
12;14;1;26;5;0;0.0;5;0;0.0;Dropout
12;12;1;35;7;4;45820;7;5;50740;Dropout
1;17;1;22;5;5;1,24286E+16;5;5;45880;Graduate
9;11;1;26;6;4;10.0;6;3;12.0;Enrolled
8;9;1;19;5;3;1,23333E+16;5;0;0.0;Dropout
1;11;0;19;6;0;0.0;6;0;0.0;Dropout
15;2;1;20;0;0;0.0;0;0;0.0;Graduate
16;14;1;21;11;10;45669;8;8;1,33333E+16;Graduate
1;15;1;19;6;6;1,47143E+16;6;6;15.0;Graduate
1;15;1;18;6;6;1,26667E+16;6;6;1,28333E+16;Graduate
17;4;1;23;12;12;1,43846E+16;10;10;45729;Graduate
8;9;1;18;5;5;45760;5;5;45700;Graduate
9;12;1;18;8;7;1,33143E+16;8;7;1,33143E+16;Graduate
1;12;1;19;8;7;1,19886E+15;8;7;1,19886E+15;Graduate
17;9;1;21;11;11;1,15455E+16;9;8;1,28889E+15;Graduate
1;6;1;18;6;6;1,64615E+15;6;6;13875;Graduate
1;15;1;24;6;6;1,36667E+16;6;6;1,28333E+16;Graduate
1;12;1;18;7;7;24077;8;8;1,34111E+16;Dropout
1;14;1;18;6;6;1,23333E+16;6;3;12.0;Enrolled
8;12;1;20;7;6;14.37;8;7;14.65;Graduate
8;6;1;19;5;3;12.0;5;4;27699;Enrolled
1;15;0;18;6;3;12.0;6;3;1,06667E+16;Dropout
14;11;1;19;6;4;12.0;6;3;11.0;Dropout
8;16;1;19;6;5;45820;6;5;45699;Graduate
1;10;1;18;6;6;1,21667E+16;6;6;1,23333E+16;Graduate
1;16;1;20;7;6;45790;7;6;14.0;Enrolled
1;12;1;18;8;8;1376375;8;8;1376375;Graduate
8;13;1;19;7;6;45759;7;6;45881;Graduate
8;9;1;18;5;4;1,06667E+16;5;2;12.0;Enrolled
1;12;1;18;7;6;1,43333E+16;7;6;1,43333E+16;Graduate
1;6;1;21;6;4;45789;6;2;1,26667E+16;Enrolled
8;11;0;19;6;1;10.0;6;0;0.0;Dropout
1;12;1;21;7;7;1469625;8;8;1,46222E+16;Graduate
1;6;1;18;6;4;45788;6;3;13.75;Enrolled
8;13;1;18;7;7;1,28556E+16;8;8;139125;Graduate
1;12;1;18;7;7;45851;8;8;1,39944E+16;Graduate
1;8;0;23;5;0;0.0;5;1;12.0;Dropout
1;10;1;20;6;3;45699;6;4;12.0;Enrolled
1;12;1;18;7;7;1,32857E+16;8;8;1,33333E+16;Graduate
8;16;1;19;6;5;13.0;6;5;45757;Enrolled
12;12;1;27;7;6;45820;7;6;1,16857E+16;Enrolled
8;9;0;19;5;5;45881;5;4;12.0;Enrolled
14;8;1;21;6;5;45788;6;5;11.0;Dropout
9;12;1;19;8;7;45758;8;7;45758;Graduate
15;10;1;21;6;6;1,23333E+16;6;6;1,13333E+16;Graduate
1;15;1;18;6;5;45881;6;4;45700;Graduate
8;6;1;20;5;5;12.0;5;4;15.0;Graduate
1;16;1;18;6;5;13.0;6;5;45790;Graduate
8;5;0;18;6;6;1,18333E+16;6;6;11.0;Dropout
1;6;1;18;6;6;14.0;6;6;1,33333E+16;Graduate
8;15;1;18;6;6;1,23333E+16;6;6;45790;Graduate
1;12;1;19;7;5;45760;7;7;45789;Enrolled
17;6;0;23;11;11;1,31667E+16;9;8;1,33333E+16;Enrolled
12;6;1;24;6;6;45789;6;6;1,28333E+16;Graduate
1;2;1;19;0;0;0.0;0;0;0.0;Graduate
1;12;1;18;8;7;1,56571E+16;8;7;1,56571E+16;Graduate
1;5;1;19;6;6;1,21667E+16;6;6;1,13333E+16;Graduate
8;16;1;19;6;0;0.0;6;0;0.0;Dropout
1;10;1;20;6;5;45818;6;5;1,11667E+16;Enrolled
1;6;1;20;6;6;1,34286E+16;6;5;1,26667E+16;Enrolled
12;15;1;26;6;4;27699;6;0;0.0;Dropout
12;11;0;36;5;0;0.0;5;0;0.0;Dropout
8;2;0;19;0;0;0.0;0;0;0.0;Dropout
13;7;0;27;5;0;0.0;5;0;0.0;Dropout
1;7;1;18;5;1;13.0;5;0;0.0;Dropout
1;12;1;18;8;7;1,33314E+16;8;7;1,33314E+16;Graduate
12;5;1;28;6;0;0.0;6;0;0.0;Dropout
15;2;1;21;0;0;0.0;0;0;0.0;Graduate
1;12;1;19;7;6;45851;7;6;45851;Graduate
12;14;0;26;5;0;0.0;5;0;0.0;Dropout
16;7;1;20;9;9;1,34545E+16;7;6;13875;Dropout
1;12;1;19;8;7;45700;8;7;45700;Graduate
1;9;1;21;5;3;10.0;5;4;11.0;Dropout
17;14;1;23;6;5;13.0;6;6;1,28571E+16;Graduate
12;3;1;29;6;6;12.0;6;6;14.0;Graduate
1;12;1;20;8;7;1,50286E+16;8;7;1,50286E+16;Graduate
1;10;1;18;6;6;12.0;6;6;1,17143E+16;Graduate
1;15;1;19;6;5;12.0;6;5;45759;Graduate
4;13;0;23;7;3;1,36667E+16;8;3;1,13333E+16;Dropout
1;2;1;21;0;0;0.0;0;0;0.0;Dropout
8;9;1;18;5;5;12.0;5;4;45789;Enrolled
1;2;1;18;0;0;0.0;0;0;0.0;Graduate
1;5;0;21;6;1;14.0;6;0;0.0;Dropout
16;10;1;22;6;0;0.0;6;0;0.0;Dropout
9;13;1;21;7;7;12375;7;5;1,25833E+16;Graduate
12;12;0;32;7;0;0.0;8;0;0.0;Dropout
4;4;1;27;18;18;1,14211E+16;13;13;1,10769E+16;Graduate
1;12;1;18;7;6;13.35;7;6;13.35;Graduate
12;5;1;24;6;6;15.0;6;2;16.0;Graduate
1;8;1;22;5;2;45787;5;0;0.0;Dropout
14;8;0;22;6;0;0.0;4;0;0.0;Dropout
1;9;1;19;5;5;13.25;5;5;1,18333E+16;Graduate
8;7;1;19;5;0;0.0;5;0;0.0;Dropout
1;6;1;21;5;4;45788;5;3;45818;Enrolled
1;12;1;18;8;8;1388125;8;8;1388125;Graduate
1;11;1;18;6;6;1,13333E+16;6;5;45820;Graduate
1;2;1;20;0;0;0.0;0;0;0.0;Dropout
8;10;1;19;6;6;1,28571E+16;6;6;1,36667E+16;Graduate
8;15;1;19;6;5;45819;6;6;45789;Graduate
8;11;1;18;6;5;45758;6;6;1,13333E+16;Graduate
1;8;1;20;6;6;1,33333E+16;6;6;13.0;Enrolled
15;5;1;22;7;7;1,35714E+16;9;9;1,37778E+15;Graduate
12;13;1;31;7;6;1,18333E+16;7;7;1,22286E+16;Graduate
8;16;1;19;7;7;1,44286E+16;7;7;1,41429E+16;Graduate
1;2;1;18;0;0;0.0;0;0;0.0;Enrolled
1;11;1;18;6;6;1,22857E+16;6;5;45759;Graduate
1;6;1;21;5;5;45761;5;5;45882;Graduate
8;12;1;18;7;7;13.15;8;8;1506875;Graduate
15;9;0;25;5;0;0.0;5;0;0.0;Dropout
6;7;1;21;5;0;0.0;6;0;0.0;Dropout
9;12;1;19;8;7;1,23429E+16;8;7;1,23429E+16;Graduate
1;15;1;19;6;5;45700;6;5;45879;Enrolled
8;11;1;22;6;4;45787;6;1;11.0;Dropout
6;9;1;19;5;5;45818;5;5;45819;Graduate
12;3;1;58;6;0;0.0;6;0;0.0;Dropout
7;10;1;19;6;4;45962;6;6;12.0;Graduate
14;14;1;23;9;6;45787;10;10;45849;Graduate
1;15;1;19;6;4;11.0;6;3;1,16667E+16;Enrolled
9;12;1;18;7;7;1,34571E+16;8;8;145125;Graduate
1;6;1;20;5;5;45820;5;4;1,23333E+16;Graduate
8;6;0;18;6;0;0.0;6;0;0.0;Dropout
8;14;1;18;6;6;1,36667E+16;6;5;45821;Graduate
8;9;1;18;5;5;45819;5;5;45880;Graduate
12;8;1;24;6;6;1,25714E+16;6;5;1,28333E+16;Dropout
8;16;1;18;6;5;45880;6;5;45758;Dropout
1;9;1;19;5;5;45819;5;3;1,26667E+16;Enrolled
8;10;1;19;6;6;1,13333E+16;6;6;1,18333E+16;Graduate
1;11;1;18;6;6;1,06667E+16;6;6;45788;Graduate
1;8;1;18;5;4;45790;5;5;45760;Enrolled
1;2;1;19;0;0;0.0;0;0;0.0;Graduate
15;6;1;22;6;6;1,33333E+16;6;4;45788;Graduate
1;11;1;19;6;5;45760;6;2;45790;Enrolled
8;10;1;21;6;3;45698;6;4;45992;Enrolled
8;15;1;21;6;5;13.0;6;6;1,28333E+16;Graduate
1;12;1;18;8;7;1,29086E+15;8;7;1,29086E+15;Graduate
1;16;1;20;6;4;12.0;6;1;10.0;Dropout
1;11;1;18;6;6;1,08333E+16;6;5;11.0;Enrolled
7;5;1;19;6;6;1,53333E+16;6;6;1,58333E+16;Graduate
1;12;1;18;7;6;1,28167E+16;8;6;12875;Enrolled
6;9;0;26;7;6;13.0;6;2;14.0;Dropout
6;7;1;19;6;2;45790;5;2;11.0;Enrolled
12;3;1;35;6;6;45789;6;6;1,21667E+16;Graduate
9;14;1;19;6;6;13.0;6;6;1,43333E+16;Graduate
1;6;1;18;5;4;27699;5;5;1,25714E+16;Graduate
1;14;1;19;5;4;45789;5;4;14.25;Graduate
1;2;1;25;17;17;1,16111E+15;17;17;1,20556E+16;Graduate
8;11;1;18;6;6;14.0;6;6;1,46667E+16;Graduate
8;4;0;26;6;0;0.0;6;0;0.0;Dropout
14;17;1;34;5;5;45882;5;5;1,38333E+16;Graduate
1;11;0;18;5;0;0.0;5;0;0.0;Dropout
1;2;0;18;0;0;0.0;0;0;0.0;Dropout
8;7;1;18;5;4;45992;5;3;1,23333E+16;Dropout
15;4;1;20;6;3;45788;6;3;1,36667E+16;Dropout
15;5;1;25;7;6;1,25714E+16;9;9;1,25556E+16;Graduate
8;8;1;18;6;6;12.0;6;5;1,21667E+16;Dropout
1;4;1;19;12;11;12.0;12;12;1,23077E+16;Graduate
1;2;1;20;0;0;0.0;0;0;0.0;Dropout
9;10;1;20;7;6;12.0;6;6;1,11667E+16;Graduate
1;7;1;20;5;4;45819;5;4;45992;Enrolled
1;9;1;19;5;0;0.0;5;0;0.0;Dropout
1;9;1;20;5;5;12.0;5;4;13.0;Enrolled
1;12;1;18;7;6;1,39767E+16;8;6;1,20417E+16;Enrolled
1;14;1;19;6;4;45789;6;1;10.0;Enrolled
9;9;0;20;5;0;0.0;5;0;0.0;Dropout
12;14;1;24;6;4;45787;6;4;45789;Dropout
15;4;1;20;6;5;1,28571E+16;6;6;45728;Graduate
1;14;1;19;5;3;1,16667E+16;5;4;12.0;Enrolled
16;7;1;23;5;2;13.0;5;1;10.0;Dropout
8;11;1;20;6;6;1,18333E+16;6;5;45757;Enrolled
14;3;1;21;11;11;1,24545E+16;11;8;27729;Graduate
8;7;1;20;5;3;11.0;5;0;0.0;Dropout
8;7;1;21;5;4;45701;5;4;14.25;Enrolled
1;15;1;18;6;6;45792;6;6;1,41667E+16;Graduate
1;11;1;18;6;6;1,23333E+16;6;6;1,36667E+16;Graduate
8;9;1;18;5;5;12.0;5;4;45758;Enrolled
15;4;1;20;6;4;45819;6;5;45788;Enrolled
8;15;1;18;6;6;1,13333E+16;6;6;1,22857E+16;Graduate
8;15;1;19;6;0;0.0;6;0;0.0;Dropout
8;7;1;20;5;4;12.0;5;2;45789;Enrolled
8;8;1;19;5;4;12.0;5;5;45820;Graduate
12;17;1;33;5;2;45789;5;2;45788;Dropout
16;2;1;21;12;12;1,36667E+16;11;11;13.0;Graduate
12;4;0;25;6;2;45791;6;0;0.0;Dropout
1;6;1;20;6;4;45701;6;0;0.0;Dropout
17;6;1;22;7;5;1,21667E+16;8;5;45883;Dropout
12;15;1;39;6;4;45962;6;6;1,13333E+16;Graduate
1;14;1;21;6;6;1,51667E+16;6;6;1,44286E+16;Graduate
8;11;1;19;6;6;1,11667E+16;6;4;45760;Graduate
12;12;1;26;7;6;1,09833E+16;7;6;1,09833E+16;Graduate
9;10;1;19;6;4;27668;6;5;45788;Graduate
17;6;0;20;12;11;1,33846E+16;9;7;1,42857E+16;Graduate
8;14;1;25;6;6;1,12857E+16;6;5;45700;Enrolled
14;3;1;24;6;0;0.0;6;0;0.0;Dropout
8;7;1;20;5;4;13.0;5;5;1,48333E+16;Graduate
12;4;1;29;6;6;1,61111E+15;6;6;45790;Graduate
1;15;1;20;6;6;45788;6;6;11.0;Graduate
15;8;1;20;6;4;27668;6;2;45787;Dropout
12;14;1;24;6;4;45819;6;5;13.0;Graduate
12;12;1;24;7;0;0.0;7;0;0.0;Dropout
4;7;1;23;5;5;45882;5;5;1,41429E+16;Graduate
14;13;1;20;7;7;1,35857E+16;8;8;146875;Graduate
8;14;1;19;6;6;1,38571E+16;6;5;13.0;Graduate
12;4;1;28;6;5;12.0;6;6;1,23333E+16;Enrolled
15;4;1;20;6;6;1,34444E+16;6;5;45820;Graduate
1;5;1;18;6;6;14.0;6;6;1,38571E+16;Graduate
1;14;1;20;6;1;12.0;6;0;0.0;Dropout
12;17;1;33;5;5;45702;5;5;1,38333E+16;Graduate
12;12;1;35;7;5;13.34;7;5;30956;Enrolled
12;12;1;27;8;7;1,24571E+16;8;7;1,24571E+16;Enrolled
8;15;0;19;6;3;11.0;6;3;12.0;Dropout
